ts_code,sub_code,name,ipo_date,issue_date,amount,market_amount,price,pe,limit_amount,funds,ballot
301668.SZ,301668,昊创瑞通,20250911,,2790.0,0.0,0.0,0.0,0.65,0.0,0.0
301575.SZ,301575,艾芬达,20250901,,2167.0,520.0,27.69,18.81,0.5,6.0,0.0
920100.BJ,920100,三协电机,20250826,,2070.0,1440.0,8.83,12.31,85.5,1.828,0.02
603370.SH,732370,华新精科,20250825,,4374.0,2799.0,18.6,21.68,1.35,8.135,0.03
920112.BJ,920112,巴兰仕,20250819,20250828,2185.0,1520.0,15.78,10.5,90.25,3.448,0.04
920056.BJ,920056,能之光,20250813,20250822,1700.0,1182.0,7.21,11.59,70.2,1.225,0.02
920018.BJ,920018,宏远股份,20250811,20250820,3528.0,2455.0,9.17,12.8,145.73,3.236,0.04
920101.BJ,920101,志高机械,20250805,20250814,2470.0,1719.0,17.41,15.05,102.03,4.301,0.05
301632.SZ,301632,广东建科,20250801,20250812,10466.0,2930.0,6.56,26.48,1.45,6.866,0.02
920007.BJ,920007,酉立智能,20250729,20250808,1288.0,896.0,23.99,11.75,53.21,3.091,0.04
603406.SH,732406,天富龙,20250728,20250808,4001.0,2547.0,23.6,20.93,1.05,9.442,0.03
301491.SZ,301491,汉桑科技,20250725,20250806,3225.0,1346.0,28.91,14.9,0.75,9.323,0.02
920005.BJ,920005,鼎佳精密,20250722,20250731,2300.0,1600.0,11.16,15.29,95.0,2.567,0.03
001221.SZ,001221,悍高集团,20250721,20250730,4001.0,2521.0,15.43,11.86,1.05,6.174,0.02
603262.SH,732262,技源集团,20250714,20250723,5001.0,2801.0,10.88,25.51,1.2,5.441,0.03
301609.SZ,301609,山大电力,20250714,20250723,4072.0,1771.0,14.66,19.57,1.0,5.97,0.02
600930.SH,730930,华电新能,20250707,20250716,571429.0,144928.0,3.18,15.56,149.05,181.714,0.56
301630.SZ,301630,同宇新材,20250701,20250710,1000.0,1000.0,84.0,23.94,1.0,8.4,0.01
